Date,Close,High,Low,Open,Volume
1/3/2023,123.6325302,129.3955184,122.7428727,128.7826491,112117500
1/4/2023,124.9077072,127.1812756,123.6424198,125.4316146,89113600
1/5/2023,123.583107,126.3015005,123.3261007,125.6688568,80962700
1/6/2023,128.1302032,128.7925008,123.4545719,124.5617018,87754700
1/9/2023,128.6541443,131.8766859,128.397138,128.9704737,70790800
1/10/2023,129.2274628,129.7513701,126.64746,128.7628635,63896200
1/11/2023,131.9557495,131.9755088,128.9605758,129.7414893,69458900
1/12/2023,131.8766632,132.7168847,129.9293041,132.3412625,71379600
1/13/2023,133.2111511,133.3693158,130.1467895,130.5125322,57809700
1/17/2023,134.3776093,135.7120843,132.5884145,133.2803662,63646600
1/18/2023,133.6559906,137.0169072,133.4780516,135.2474869,69672800
1/19/2023,133.7153015,134.6840338,132.2325415,132.5389762,58280400
1/20/2023,136.2854004,136.4336854,132.6773573,133.7251719,80223600
1/23/2023,139.4881744,141.6727808,136.3150614,136.5325341,81760300
1/24/2023,140.8918457,141.5146097,138.6874802,138.6973598,66435100
1/25/2023,140.2295532,140.7929942,137.2146049,139.2707006,65799300
1/26/2023,142.3054352,142.5920955,140.2690987,141.5245064,54105100
1/27/2023,144.2527618,145.5378234,141.4355271,141.5146094,70555800
1/30/2023,141.3564606,143.8771557,141.2081906,143.2939404,64015300
1/31/2023,142.6316071,142.6810354,140.6447143,141.0598852,65874500
2/1/2023,143.7585297,144.9249755,139.6957814,142.3153183,77663600
2/2/2023,149.0865631,149.442411,146.4670117,147.1886173,118339000
2/3/2023,152.7242737,155.5711776,146.1309363,146.3286346,154357300
2/6/2023,149.9861298,151.3403943,149.0470513,150.8164869,69858300
2/7/2023,152.8725586,153.4458943,148.9086521,148.9086521,83322600
2/8/2023,150.1739349,152.8033664,149.4325549,152.1114147,64120100
2/9/2023,149.1360016,152.5562414,148.6911766,152.0125597,56007100
2/10/2023,149.5022888,149.8289959,147.7301671,147.9677763,57450700
2/13/2023,152.3139648,152.7198599,149.4132102,149.4429094,62199000
2/14/2023,151.6704407,152.234757,149.353807,150.6012216,61707600
2/15/2023,153.7791748,153.9474757,151.3536388,151.5813383,65573800
2/16/2023,152.175354,154.7691909,151.8189477,151.9773387,68167900
2/17/2023,151.0269623,151.4724665,149.3439379,150.8289621,59144100
2/21/2023,146.9975433,149.7893952,146.9282501,148.7003717,58867200
2/22/2023,147.4232635,148.4528734,145.6907358,147.3836545,51011300
2/23/2023,147.908371,148.8389883,145.7699481,148.5914844,48394200
2/24/2023,145.2452393,145.7204427,144.2651181,145.6412396,55469600
2/27/2023,146.443161,147.680681,145.9778523,146.2352661,44998500
2/28/2023,145.9382324,147.591557,145.3640214,145.5818261,50547000
3/1/2023,143.8592224,145.7600513,143.5622146,145.364051,55479000
3/2/2023,144.4532318,145.2452476,142.4632901,142.9385086,52238100
3/3/2023,149.5220795,149.6012825,145.8590242,146.5619269,70732300
3/6/2023,152.2941589,154.7394996,151.9278579,152.2545498,87558000
3/7/2023,150.0864105,152.4921418,149.6211019,152.1654348,56182000
3/8/2023,151.34375,151.9377657,150.3141399,151.2843515,47204800
3/9/2023,149.0865021,152.9970622,148.7300957,152.0268507,53833600
3/10/2023,147.0173798,149.4330213,146.1362661,148.7103138,68572400
3/13/2023,148.9676971,151.6110378,146.2253488,146.3342512,84457100
3/14/2023,151.0665283,151.8684388,148.6013983,149.7696099,73695900
3/15/2023,151.4625397,151.7199384,148.4231836,149.680508,77167900
3/16/2023,154.2939758,154.8978861,150.1260025,150.6408149,76161100
3/17/2023,153.4524689,155.175102,152.7396562,154.5216879,98944600
3/20/2023,155.8284912,156.2443112,152.6109396,153.5217675,73641400
3/21/2023,157.6897278,157.8085249,154.9770788,155.7493051,73938300
3/22/2023,156.2542267,160.5211932,156.2344221,157.7095514,75701800
3/23/2023,157.3432312,159.9370833,156.1057112,157.2442387,67622100
3/24/2023,158.6500549,158.7391527,156.2740227,157.2739334,59196500
3/27/2023,156.6997375,159.1648829,156.2938273,158.3431678,52390300
3/28/2023,156.076004,156.9076289,154.4226793,156.3928164,45992200
3/29/2023,159.1648712,159.4420745,157.7590504,157.7788398,51305700
3/30/2023,160.7389832,160.8478855,159.6598694,159.9172681,49501700
3/31/2023,163.2536469,163.3526545,160.2935084,160.8182157,68749800
4/3/2023,164.5109406,164.6297376,162.5804126,162.6299164,56976200
4/4/2023,163.9763489,165.1742597,163.4615363,164.9366656,46278300
4/5/2023,162.1250153,163.4021444,160.1845924,163.0952418,51511700
4/6/2023,163.016037,163.3130448,160.3825908,160.8082904,45390100
4/10/2023,160.4122925,160.4122925,158.4817643,159.8083821,47716900
4/11/2023,159.1945953,160.7390181,158.9074822,160.7291233,47644200
4/12/2023,158.5015564,160.4419792,158.184744,159.6103694,50133100
4/13/2023,163.9070587,164.144668,159.8083928,160.0163028,68445600
4/14/2023,163.5605621,164.6594806,162.1844404,162.9467419,49386500
4/17/2023,163.5803375,163.7387437,162.3923214,163.4417359,41516200
4/18/2023,164.8079834,165.738601,163.9961629,164.4416823,49923000
4/19/2023,165.9563904,166.4810977,163.8872454,164.1446593,47720200
4/20/2023,164.9861603,166.193981,163.9070465,164.4317537,52456400
4/21/2023,163.3724365,164.7881521,162.8477293,163.4021358,58337300
4/24/2023,163.6793518,163.9466604,162.2537263,163.3526447,41949600
