Date,Close,High,Low,Open,Volume
1/3/2022,16.60000038,18.54000092,16.55999947,17.60000038,0
1/4/2022,16.90999985,17.80999947,16.34000015,16.56999969,0
1/5/2022,19.72999954,20.17000008,16.57999992,17.06999969,0
1/6/2022,19.61000061,21.05999947,19.07999992,20.29000092,0
1/7/2022,18.76000023,20.79999924,18.56999969,19.85000038,0
1/10/2022,19.39999962,23.32999992,19.29000092,19.57999992,0
1/11/2022,18.40999985,21,18.20000076,19.62000084,0
1/12/2022,17.62000084,18.69000053,17.36000061,18.17000008,0
1/13/2022,20.30999947,20.61000061,17.45000076,18.05999947,0
1/14/2022,19.19000053,22.06999969,19.04999924,20.11000061,0
1/18/2022,22.79000092,23.20000076,21.18000031,21.18000031,0
1/19/2022,23.85000038,23.98999977,21.85000038,23.12000084,0
1/20/2022,25.59000015,25.88999939,21.68000031,23.45999908,0
1/21/2022,28.85000038,29.79000092,25.30999947,25.37999916,0
1/24/2022,29.89999962,38.93999863,28.02000046,28.20000076,0
1/25/2022,31.15999985,35.84999847,29.12999916,32.29000092,0
1/26/2022,31.95999908,33.04000092,26.89999962,29.35000038,0
1/27/2022,30.48999977,33,28.42000008,32.18999863,0
1/28/2022,27.65999985,32.81999969,27.28000069,30.27000046,0
1/31/2022,24.82999992,29.40999985,24.70999908,28.36000061,0
2/1/2022,21.95999908,25.32999992,21.95999908,24.56999969,0
2/2/2022,22.09000015,22.72999954,20.45999908,21.55999947,0
2/3/2022,24.35000038,25.80999947,22.29999924,22.62999916,0
2/4/2022,23.21999931,26.26000023,22.06999969,23.77000046,0
2/7/2022,22.86000061,24.81999969,22.02000046,24.09000015,0
2/8/2022,21.44000053,23.47999954,21.31999969,23.09000015,0
2/9/2022,19.95999908,21.29999924,19.93000031,21.27000046,0
2/10/2022,23.90999985,24.77000046,20.18000031,20.37000084,0
2/11/2022,27.36000061,30.98999977,23.32999992,24.38999939,0
2/14/2022,28.32999992,32.04000092,28.32999992,29.17000008,0
2/15/2022,25.70000076,28.09000015,25.32999992,28.09000015,0
2/16/2022,24.29000092,27.09000015,23.87999916,25.19000053,0
2/17/2022,28.11000061,28.37000084,24.76000023,24.82999992,0
2/18/2022,27.75,29.70999908,26.37999916,26.65999985,0
2/22/2022,28.80999947,32.04000092,28.39999962,31.79999924,0
2/23/2022,31.02000046,31.06999969,27.20000076,28.04000092,0
2/24/2022,30.31999969,37.79000092,29.45000076,37.5,0
2/25/2022,27.59000015,32,26.93000031,31.68000031,0
2/28/2022,30.14999962,33.50999832,28.43000031,32.43999863,0
3/1/2022,33.31999969,35.18999863,29.44000053,29.45000076,0
3/2/2022,30.73999977,34.40999985,30.12000084,34.20000076,0
3/3/2022,30.47999954,32.00999832,29.30999947,30.52000046,0
3/4/2022,31.97999954,34.65000153,31.46999931,31.89999962,0
3/7/2022,36.45000076,36.54999924,32.59000015,35.88000107,0
3/8/2022,35.13000107,37.52000046,32.77999878,36.18999863,0
3/9/2022,32.45000076,34.11999893,31.38999939,33.74000168,0
3/10/2022,30.22999954,34.02999878,30.22999954,33.02999878,0
3/11/2022,30.75,31.04000092,28.84000015,30.43000031,0
3/14/2022,31.77000046,33.18000031,30.05999947,31.03000069,0
3/15/2022,29.82999992,33.83000183,29.56999969,33.13000107,0
3/16/2022,26.67000008,29.79999924,26.29000092,29.02000046,0
3/17/2022,25.67000008,27.46999931,25.25,26.51000023,0
3/18/2022,23.87000084,26.81999969,23.85000038,26.36000061,0
3/21/2022,23.53000069,25.36000061,22.98999977,25.13999939,0
3/22/2022,22.94000053,24.02000046,22.70000076,24.02000046,0
3/23/2022,23.56999969,24.03000069,22.63999939,23.04000092,0
3/24/2022,21.67000008,23.79000092,21.48999977,23.61000061,0
3/25/2022,20.80999947,22.86000061,20.79999924,21.87000084,0
3/28/2022,19.62999916,23.32999992,19.54000092,22.13999939,0
3/29/2022,18.89999962,19.72999954,18.67000008,19.70000076,0
3/30/2022,19.32999992,20.51000023,18.71999931,19.37999916,0
3/31/2022,20.55999947,21.47999954,19.54000092,19.68000031,0
4/1/2022,19.62999916,20.86000061,19.40999985,20.62000084,0
